Original Name, ,Label,Area,Mean,StdDev,X,Y,XM,YM,BX,BY,Width,Height,Angle,IntDen,RawIntDen,Length
------------------------- ,,,,,,,,,,,,,,,,,
TILESCANS_240720_Ctnnd2_ODP_adult_set1_lif - 240720_Ctnnd2_ODP__set1_AB7592_HET_P50_M_MD_section002_contra_594-Arc_20X_Merged.tif (red)_.tif,32,6764-4807-21332.tif,1161.981,22.055,7.342,1412.157,1308.246,0,0,1022.068,977.778,781.314,662.073,-40.27,25627.789,19871.787,1022.505
TILESCANS_240720_Ctnnd2_ODP_adult_set1_lif - 240720_Ctnnd2_ODP__set1_AB7592_HET_P50_M_MD_section003_contra_594-Arc_20X_Merged.tif (red)_.tif,4,13314-3432-10137.tif,1046.529,22.193,6.962,1676.832,1510.52,0,0,1347.638,1193.328,659.531,635.527,-43.936,23225.797,17776.724,914.286
TILESCANS_240720_Ctnnd2_ODP_adult_set1_lif - 240720_Ctnnd2_ODP__set1_AB7592_HET_P50_M_MD_section004_contra_594-Arc_20X_Merged.tif (red)_.tif,18,23495-5416-3253.tif,736.394,26.886,8.021,1516.067,1284.398,0,0,1270.771,1073.171,491.728,423.59,-40.732,19798.519,15351.772,647.417
TILESCANS_240720_Ctnnd2_ODP_adult_set1_lif - 240720_Ctnnd2_ODP__set1_AB7592_HET_P50_M_MD_section005_contra_594-Arc_20X_Merged.tif (red)_.tif,22,2733-13272-7251.tif,727.367,24.603,6.55,1478.591,1558.653,0,0,1240.109,1345.722,478.1,426.997,-41.76,17895.114,13875.871,639.417
TILESCANS_240720_Ctnnd2_ODP_adult_set1_lif - 240720_Ctnnd2_ODP__set1_AB7594_HET_P50_M_NR_section002_contra_594-Arc_20X_Merged.tif (red)_.tif,26,3935-26481-26504.tif,49.648,19.316,3.956,1282.485,1085.312,0,0,1265.34,1073.31,35.434,25.147,-34.992,959.022,734.023,41.858
TILESCANS_240720_Ctnnd2_ODP_adult_set1_lif - 240720_Ctnnd2_ODP__set1_AB7594_HET_P50_M_NR_section003_contra_594-Arc_20X_Merged.tif (red)_.tif,5,14988-17175-29280.tif,1224.217,22.309,5.601,1774.562,1402.504,0,0,1347.638,1080.168,854.99,645.815,-37.054,27310.615,20903.19,1069.886
TILESCANS_240720_Ctnnd2_ODP_adult_set1_lif - 240720_Ctnnd2_ODP__set1_AB7594_HET_P50_M_NR_section004_contra_594-Arc_20X_Merged.tif (red)_.tif,19,24763-23610-9339.tif,941.45,24.891,5.698,1412.725,1204.904,0,0,1037.966,1028.881,750.652,353.181,-25.159,23433.326,18170.201,828.076
TILESCANS_240720_Ctnnd2_ODP_adult_set1_lif - 240720_Ctnnd2_ODP__set1_AB7594_HET_P50_M_NR_section005_contra_594-Arc_20X_Merged.tif (red)_.tif,3,12336-24985-2546.tif,916.946,23.504,5.803,1309.382,1026.61,0,0,967.557,813.112,684.785,428.133,-31.988,21551.69,16711.18,806.042
TILESCANS_240720_Ctnnd2_ODP_adult_set1_lif - 240720_Ctnnd2_ODP__set1_AB7596_HET_P50_F_MD_section002_contra_594-Arc_20X_Merged.tif (red)_.tif,23,27799-15692-32309.tif,33.531,25.141,5.92,1645.529,1454.743,0,0,1635.308,1444.522,21.577,21.577,-45,843.021,653.678,28.908
