Original Name, ,Label,Area,Mean,StdDev,X,Y,XM,YM,Perim.,BX,BY,Width,Height,Angle,Circ.,IntDen,RawIntDen,AR,Round,Solidity,Length
------------------------- ,,,,,,,,,,,,,,,,,,,,,,
Adjusted_TILESCANS_241114_Ctnnd2_ODP_adult_lif - 241114_Ctnnd2_ODP_adult_536631M_section004_contra_P50_KO_NR_20X_Merged.tif,13,4148-15785-8332.tif,416.3,91.879,23.954,1946.603,1847.217,0,0,363.533,1764.966,1840.363,364.417,14.851,-2.161,0.04,38249.317,29309.472,0,0,NaN,363.533
Adjusted_TILESCANS_241114_Ctnnd2_ODP_adult_lif - 241114_Ctnnd2_ODP_adult_536631M_section005_contra_P50_KO_NR_20X_Merged.tif,5,19217-21285-24685.tif,653.813,78.692,20.607,2108.82,1954.6,0,0,571.228,1823.227,1951.173,572.329,7.997,0.688,0.025,51449.586,39424.5,0,0,NaN,571.228
Adjusted_TILESCANS_241114_Ctnnd2_ODP_adult_lif - 241114_Ctnnd2_ODP_adult_536631M_section006_contra_P50_KO_NR_20X_Merged.tif,7,21181-19782-18798.tif,1007.34,80.05,24.249,1882.349,1863.622,0,0,886.459,1439.143,1859.082,887.547,10.215,0.587,0.016,80637.708,62599.211,0,0,NaN,886.459
Adjusted_TILESCANS_241114_Ctnnd2_ODP_adult_lif - 241114_Ctnnd2_ODP_adult_536632F_section004_contra_P50_HET_NR_20X_Merged.tif,1,12579-18222-14462.tif,1032.267,67.65,25.448,1603.891,1731.837,0,0,902.963,1152.654,1716.986,903.617,30.844,-1.885,0.016,69832.896,53511.159,0,0,NaN,902.963
Adjusted_TILESCANS_241114_Ctnnd2_ODP_adult_lif - 241114_Ctnnd2_ODP_adult_536632F_section006_contra_P50_HET_NR_20X_Merged.tif,2,14695-10895-25632.tif,1342.861,92.686,32.404,1779.817,1964.881,0,0,1174.679,1192.637,1951.173,1175.502,28.559,-178.663,0.012,124464.224,95373.747,0,0,NaN,1174.679
Adjusted_TILESCANS_241114_Ctnnd2_ODP_adult_lif - 241114_Ctnnd2_ODP_adult_536633F_section002_contra_P50_HET_NR_20X_Merged.tif,16,5698-4491-8213.tif,934.162,85.279,29.273,2207.842,1716.452,0,0,820.375,1798.35,1692.565,820.121,48.911,176.662,0.017,79664.158,61571.263,0,0,NaN,820.375
Adjusted_TILESCANS_241114_Ctnnd2_ODP_adult_lif - 241114_Ctnnd2_ODP_adult_536633F_section003_contra_P50_HET_NR_20X_Merged.tif,15,4857-16306-18054.tif,747.132,100.776,28.431,1981.659,1656.49,0,0,657.642,1654.787,1620.738,654.878,72.638,-6.242,0.022,75292.825,58449.968,0,0,NaN,657.642
Adjusted_TILESCANS_241114_Ctnnd2_ODP_adult_lif - 241114_Ctnnd2_ODP_adult_536633F_section004_contra_P50_HET_NR_20X_Merged.tif,11,29564-12021-24941.tif,774.183,89.891,28.158,2372.656,1787.011,0,0,681.234,2035.002,1742.18,676.443,90.798,172.437,0.021,69592.487,54024.785,0,0,NaN,681.234
Adjusted_TILESCANS_241114_Ctnnd2_ODP_adult_lif - 241114_Ctnnd2_ODP_adult_536634F_section002_contra_P50_KO_MD_20X_Merged.tif,8,22416-22515-19480.tif,942.932,94.591,31.79,2061.674,1576.474,0,0,829.185,1647.977,1549.235,828.529,55.614,3.767,0.017,89192.486,69240.303,0,0,NaN,829.185
Adjusted_TILESCANS_241114_Ctnnd2_ODP_adult_lif - 241114_Ctnnd2_ODP_adult_536634F_section003_contra_P50_KO_MD_20X_Merged.tif,12,30385-27898-18001.tif,975.136,95.203,31.009,1590.094,1761.475,0,0,857.801,1162.21,1731.965,856.903,60.153,3.945,0.017,92835.485,72068.37,0,0,NaN,857.801
Adjusted_TILESCANS_241114_Ctnnd2_ODP_adult_lif - 241114_Ctnnd2_ODP_adult_536634F_section005_contra_P50_KO_MD_20X_Merged.tif,10,27239-32708-17670.tif,16.746,133.769,42.352,1827.303,1739.91,0,0,13.62,1820.493,1739.91,14.755,1.135,0,1,2240.108,1739,0,0,NaN,13.62
Adjusted_TILESCANS_241114_Ctnnd2_ODP_adult_lif - 241114_Ctnnd2_ODP_adult_536636M_section002_contra_P50_HET_MD_20X_Merged.tif,4,1697-26967-30610.tif,1463.348,115.627,38.225,2388.546,1850.57,0,0,1287.984,1746.72,1797.794,1284.787,106.687,-4.701,0.011,169202.613,131352.321,0,0,NaN,1287.984
Adjusted_TILESCANS_241114_Ctnnd2_ODP_adult_lif - 241114_Ctnnd2_ODP_adult_536636M_section003_contra_P50_HET_MD_20X_Merged.tif,9,25340-29406-20358.tif,1574.13,113.577,40.298,2378.331,1819.926,0,0,1385.803,1685.432,1818.223,1386.934,4.54,-0.141,0.01,178784.203,138790.528,0,0,NaN,1385.803
Adjusted_TILESCANS_241114_Ctnnd2_ODP_adult_lif - 241114_Ctnnd2_ODP_adult_536636M_section004_contra_P50_HET_MD_20X_Merged.tif,6,19607-13434-22267.tif,1665.189,110.412,42.037,2789.661,1832.475,0,0,1462.277,2061.108,1771.051,1458.245,123.985,-4.819,0.01,183856.983,142100.374,0,0,NaN,1462.277
