Original Name, ,Label,Area,Mean,StdDev,X,Y,XM,YM,Perim.,BX,BY,Width,Height,Angle,Circ.,IntDen,RawIntDen,AR,Round,Solidity,Length
------------------------- ,,,,,,,,,,,,,,,,,,,,,,
Adjusted_TILESCANS_241107_Ctnnd2_ODP_juvenile_set2_lif - 241107_Ctnnd2_53861-5F_WT_P28_F_NR_section003_rep3_contra_594-Arc_20X_Merged.tif,16,30464-10598-32633.tif,15.526,109.003,12.873,1739.202,2171.443,0,0,12.251,1733.514,2169.168,12.512,5.687,21.801,1,1692.413,1308.041,0,0,NaN,12.251
Adjusted_TILESCANS_241107_Ctnnd2_ODP_juvenile_set2_lif - 241107_Ctnnd2_53861-5F_WT_P28_F_NR_section004_rep3_contra_594-Arc_20X_Merged.tif,7,16477-21382-31482.tif,1050.609,109.301,34.325,1264.874,1986.034,0,0,922.445,807.608,1925.748,915.669,121.71,7.511,0.016,114832.438,88752.313,0,0,NaN,922.445
Adjusted_TILESCANS_241107_Ctnnd2_ODP_juvenile_set2_lif - 241107_Ctnnd2_53861-5F_WT_P28_F_NR_section006_rep3_contra_594-Arc_20X_Merged.tif,18,31362-4141-28823.tif,855.237,129.074,44.844,2470.599,1884.23,0,0,751.114,2095.232,1872.286,751.872,25.024,178.178,0.019,110388.531,85317.682,0,0,NaN,751.114
Adjusted_TILESCANS_241107_Ctnnd2_ODP_juvenile_set2_lif - 241107_Ctnnd2_AC0411_WT_P28_F_NR_section002_rep3_contra_594-Arc_20X_Merged.tif,22,4232-15572-25730.tif,807.364,90.714,26.627,1455.401,1749.439,0,0,708.48,1102.215,1722.14,707.51,55.736,4.42,0.02,73239.32,56605.6,0,0,NaN,708.48
Adjusted_TILESCANS_241107_Ctnnd2_ODP_juvenile_set2_lif - 241107_Ctnnd2_AC0411_WT_P28_F_NR_section003_rep3_contra_594-Arc_20X_Merged.tif,5,13557-17818-17503.tif,1341.725,99.034,23.3,2392.113,1931.435,0,0,1178.944,1805.175,1876.836,1175.013,110.335,-5.315,0.012,132876.735,102698.486,0,0,NaN,1178.944
Adjusted_TILESCANS_241107_Ctnnd2_ODP_juvenile_set2_lif - 241107_Ctnnd2_AC0411_WT_P28_F_NR_section004_rep3_contra_594-Arc_20X_Merged.tif,9,20959-30760-5219.tif,741.378,98.307,21.983,1854.087,1813.138,0,0,650.7,1528.768,1808.588,651.774,10.237,0.801,0.022,72882.526,56329.839,0,0,NaN,650.7
Adjusted_TILESCANS_241107_Ctnnd2_ODP_juvenile_set2_lif - 241107_Ctnnd2_AC0411_WT_P28_F_NR_section005_rep3_bilateral_594-Arc_20X_Merged.tif,11,24604-29350-5400.tif,684.448,91.656,26.255,4950.298,883.819,0,0,600.743,4670.479,774.622,560.776,219.533,-21.318,0.024,62733.816,48486.049,0,0,NaN,600.743
Adjusted_TILESCANS_241107_Ctnnd2_ODP_juvenile_set2_lif - 241107_Ctnnd2_AC0414_HET_P28_M_MD_section003_rep3_contra_594-Arc_20X_Merged.tif,2,11775-30530-24961.tif,1352.076,105.578,29.05,1831.337,1791.526,0,0,1187.116,1246.674,1689.153,1170.463,205.883,-9.932,0.012,142749.555,110329.044,0,0,NaN,1187.116
Adjusted_TILESCANS_241107_Ctnnd2_ODP_juvenile_set2_lif - 241107_Ctnnd2_AC0414_HET_P28_M_MD_section005_rep3_contra_594-Arc_20X_Merged.tif,13,2779-26620-20669.tif,1051.902,109.277,22.934,1857.499,1636.829,0,0,923.096,1404.784,1546.968,906.569,180.859,-11.227,0.016,114948.602,88842.094,0,0,NaN,923.096
