Original Name,Random Name ,,Animal,Genotype,Sex,Condition,Quality
TILESCANS_240720_Ctnnd2_ODP_adult_set1_lif - 240720_Ctnnd2_ODP_et1_52932-3M_HET_P50_M_MD_section002_contra_594-Arc_20X_Merged.tif (red)_.tif,5743-1131-3373.tif,,52932_3M,HET,M,MD,
TILESCANS_240720_Ctnnd2_ODP_adult_set1_lif - 240720_Ctnnd2_ODP_et1_52932-3M_HET_P50_M_MD_section003_contra_594-Arc_20X_Merged.tif (red)_.tif,23218-23286-32551.tif,,52932_3M,HET,M,MD,
TILESCANS_240720_Ctnnd2_ODP_adult_set1_lif - 240720_Ctnnd2_ODP_et1_52932-3M_HET_P50_M_MD_section004_contra_594-Arc_20X_Merged.tif (red)_.tif,17741-13723-19356.tif,,52932_3M,HET,M,MD,
TILESCANS_240720_Ctnnd2_ODP_adult_set1_lif - 240720_Ctnnd2_ODP_et1_52932-3M_HET_P50_M_MD_section005_contra_594-Arc_20X_Merged.tif (red)_.tif,1867-982-17755.tif,,52932_3M,HET,M,MD,
TILESCANS_240720_Ctnnd2_ODP_adult_set1_lif - 240720_Ctnnd2_ODP_et1_52932-3M_HET_P50_M_MD_section006_contra_594-Arc_20X_Merged.tif (red)_.tif,18828-22573-14941.tif,,52932_3M,HET,M,MD,
TILESCANS_240720_Ctnnd2_ODP_adult_set1_lif - 240720_Ctnnd2_ODP_et1_52932-4M_HET_P50_M_MD_section003_contra_594-Arc_20X_Merged.tif (red)_.tif,2690-4899-13955.tif,,52932_4M,HET,M,MD,excluded
TILESCANS_240720_Ctnnd2_ODP_adult_set1_lif - 240720_Ctnnd2_ODP_et1_52932-4M_HET_P50_M_MD_section005_contra_594-Arc_20X_Merged.tif (red)_.tif,23373-11295-30791.tif,,52932_4M,HET,M,MD,low
TILESCANS_240720_Ctnnd2_ODP_adult_set1_lif - 240720_Ctnnd2_ODP_et1_52932-6M_HET_P50_M_NR_section002_contra_594-Arc_20X_Merged.tif (red)_.tif,9066-20700-25312.tif,,52932_6M,HET,M,NR,excluded
TILESCANS_240720_Ctnnd2_ODP_adult_set1_lif - 240720_Ctnnd2_ODP_set1_52932-2M_KO_P50_M_NR_section002_contra_594-Arc_20X_Merged.tif (red)_.tif,10490-16558-24638.tif,,52932_2M,KO,M,NR,
TILESCANS_240720_Ctnnd2_ODP_adult_set1_lif - 240720_Ctnnd2_ODP_set1_52932-2M_KO_P50_M_NR_section003_contra_594-Arc_20X_Merged.tif (red)_.tif,8058-21038-19013.tif,,52932_2M,KO,M,NR,low
TILESCANS_240720_Ctnnd2_ODP_adult_set1_lif - 240720_Ctnnd2_ODP_set1_52932-2M_KO_P50_M_NR_section004_contra_594-Arc_20X_Merged.tif (red)_.tif,19736-28747-31963.tif,,52932_2M,KO,M,NR,low
TILESCANS_240720_Ctnnd2_ODP_adult_set1_lif - 240720_Ctnnd2_ODP_set1_52932-2M_KO_P50_M_NR_section006_contra_594-Arc_20X_Merged.tif (red)_.tif,18716-20791-27198.tif,,52932_2M,KO,M,NR,low
TILESCANS_240720_Ctnnd2_ODP_adult_set1_lif - 240720_Ctnnd2_ODP_set1_52932-5M_KO_P50_M_MD_section001_contra_594-Arc_20X_Merged.tif (red)_.tif,25424-25367-15490.tif,,52932_5M,KO,M,MD,
TILESCANS_240720_Ctnnd2_ODP_adult_set1_lif - 240720_Ctnnd2_ODP_set1_52932-5M_KO_P50_M_MD_section002_contra_594-Arc_20X_Merged.tif (red)_.tif,6384-12487-27731.tif,,52932_5M,KO,M,MD,
TILESCANS_240720_Ctnnd2_ODP_adult_set1_lif - 240720_Ctnnd2_ODP_set1_52932-5M_KO_P50_M_MD_section003_contra_594-Arc_20X_Merged.tif (red)_.tif,20781-14865-24379.tif,,52932_5M,KO,M,MD,
TILESCANS_240720_Ctnnd2_ODP_adult_set1_lif - 240720_Ctnnd2_ODP_set1_52932-5M_KO_P50_M_MD_section005_contra_594-Arc_20X_Merged.tif (red)_.tif,7598-12336-18444.tif,,52932_5M,KO,M,MD,
TILESCANS_240720_Ctnnd2_ODP_adult_set1_lif - 240720_Ctnnd2_ODP_t_set1_AB7595_WT_P50_F_MD_section002_contra_594-Arc_20X_Merged.tif (red)_.tif,10110-5257-27128.tif,,AB7595,WT,F,MD,
TILESCANS_240720_Ctnnd2_ODP_adult_set1_lif - 240720_Ctnnd2_ODP_t_set1_AB7595_WT_P50_F_MD_section003_contra_594-Arc_20X_Merged.tif (red)_.tif,6122-14214-32716.tif,,AB7595,WT,F,MD,
TILESCANS_240720_Ctnnd2_ODP_adult_set1_lif - 240720_Ctnnd2_ODP_t_set1_AB7595_WT_P50_F_MD_section004_contra_594-Arc_20X_Merged.tif (red)_.tif,1884-3699-8967.tif,,AB7595,WT,F,MD,
TILESCANS_240720_Ctnnd2_ODP_adult_set1_lif - 240720_Ctnnd2_ODP_t_set1_AB7595_WT_P50_F_MD_section005_contra_594-Arc_20X_Merged.tif (red)_.tif,7723-7890-12439.tif,,AB7595,WT,F,MD,
TILESCANS_240720_Ctnnd2_ODP_adult_set1_lif - 240720_Ctnnd2_ODP_t_set1_AB7595_WT_P50_F_MD_section006_contra_594-Arc_20X_Merged.tif (red)_.tif,16968-29096-18915.tif,,AB7595,WT,F,MD,
TILESCANS_240720_Ctnnd2_ODP_adult_set1_lif - 240720_Ctnnd2_ODP_t_set1_AB7597_WT_P50_M_NR_section004_contra_594-Arc_20X_Merged.tif (red)_.tif,4877-29487-19545.tif,,AB7597,WT,M,NR,excluded
TILESCANS_240720_Ctnnd2_ODP_adult_set1_lif - 240720_Ctnnd2_ODP_t_set1_AB7597_WT_P50_M_NR_section005_contra_594-Arc_20X_Merged.tif (red)_.tif,3804-27962-28829.tif,,AB7597,WT,M,NR,excluded
TILESCANS_240720_Ctnnd2_ODP_adult_set1_lif - 240720_Ctnnd2_ODP__set1_AB7592_HET_P50_M_MD_section002_contra_594-Arc_20X_Merged.tif (red)_.tif,6764-4807-21332.tif,,AB7592,HET,M,MD,low
TILESCANS_240720_Ctnnd2_ODP_adult_set1_lif - 240720_Ctnnd2_ODP__set1_AB7592_HET_P50_M_MD_section003_contra_594-Arc_20X_Merged.tif (red)_.tif,13314-3432-10137.tif,,AB7592,HET,M,MD,low
TILESCANS_240720_Ctnnd2_ODP_adult_set1_lif - 240720_Ctnnd2_ODP__set1_AB7592_HET_P50_M_MD_section004_contra_594-Arc_20X_Merged.tif (red)_.tif,23495-5416-3253.tif,,AB7592,HET,M,MD,low
TILESCANS_240720_Ctnnd2_ODP_adult_set1_lif - 240720_Ctnnd2_ODP__set1_AB7592_HET_P50_M_MD_section005_contra_594-Arc_20X_Merged.tif (red)_.tif,2733-13272-7251.tif,,AB7592,HET,M,MD,low
TILESCANS_240720_Ctnnd2_ODP_adult_set1_lif - 240720_Ctnnd2_ODP__set1_AB7594_HET_P50_M_NR_section002_contra_594-Arc_20X_Merged.tif (red)_.tif,3935-26481-26504.tif,,AB7594,HET,M,NR,excluded
